batch;experiment_id;optuna_study_id;dataset_name;model_name;method_name;num_results;avg_test_acc_fold;std_test_acc_fold;std_err_test_acc_fold;sq_std_err;best_avg_val_acc_fold;avg_acc_diff_fold;best_avg_val_acc_epoch_fold;best_avg_train_loss_fold;best_avg_train_loss_epoch_fold;fold;required_folds;num_completed_trials_fold;best_trial_number
epsilon;27;109;MUTAG;GCN;g_mixup;3;0.763157904;0;0;0;0.966666639;-0.203508735;470;0.491489202;460;2;5;30;11
epsilon;27;111;MUTAG;GCN;g_mixup;3;0.846846879;0.015604052;0.009009004;8.11621E-05;0.966666639;-0.11981976;350;0.512406424;280;3;5;30;5
epsilon;27;113;MUTAG;GCN;g_mixup;3;0.837837855;0.027027041;0.015604069;0.000243487;0.950000018;-0.112162163;240;0.400843129;360;4;5;30;19
epsilon;35;145;MUTAG;GCN;s_mixup;3;0.77192984;0.015193439;0.008771936;7.69469E-05;0.966666639;-0.194736799;490;0.403395891;680;0;5;10;9
epsilon;35;146;MUTAG;GCN;s_mixup;3;0.675438603;0.030386878;0.017543872;0.000307787;0.966666639;-0.291228036;190;0.408017814;390;1;5;10;0
epsilon;35;147;MUTAG;GCN;s_mixup;3;0.763157904;0;0;0;0.900000036;-0.136842132;430;0.444315314;590;2;5;10;1
epsilon;35;148;MUTAG;GCN;s_mixup;3;0.855855882;0.015604052;0.009009004;8.11621E-05;0.90322578;-0.047369897;190;0.292627394;300;3;5;10;9
epsilon;35;149;MUTAG;GCN;s_mixup;3;0.819819828;0.015604086;0.009009024;8.11625E-05;0.90322578;-0.083405952;20;0.280809611;220;4;5;10;10
eta;1;1;ENZYMES;GCN;s_mixup;3;0.705555558;0.064728784;0.037371181;0.001396605;0.708333313;-0.002777755;360;0.43464449;560;0;5;20;9
eta;1;2;ENZYMES;GCN;s_mixup;3;0.711111108;0.026787927;0.015466017;0.000239198;0.739583313;-0.028472205;560;0.437229753;700;1;5;14;9
eta;1;5;ENZYMES;GCN;s_mixup;3;0.705555558;0.04276333;0.02468942;0.000609567;0.71875;-0.013194442;540;0.722450078;660;2;5;9;7
eta;1;10;ENZYMES;GCN;s_mixup;3;0.763888876;0.004811248;0.002777775;7.71603E-06;0.8125;-0.048611124;100;0.364851058;280;3;5;20;9
eta;1;16;ENZYMES;GCN;s_mixup;3;0.516666666;0.303566754;0.175264347;0.030717591;0.71875;-0.202083334;240;0.322614491;440;4;5;18;14
eta;2;3;IMDB-BINARY;GCN;s_mixup;3;0.676666657;0.062115459;0.035862377;0.00128611;0.731249988;-0.054583331;170;0.635143936;320;0;5;20;14
eta;2;7;IMDB-BINARY;GCN;s_mixup;3;0.63166668;0.071121962;0.041062284;0.001686111;0.824999988;-0.193333308;390;0.620582819;590;1;5;12;9
eta;2;14;IMDB-BINARY;GCN;s_mixup;3;0.663333356;0.005773497;0.00333333;1.11111E-05;0.737500012;-0.074166656;330;0.624401033;510;2;5;8;5
eta;2;19;IMDB-BINARY;GCN;s_mixup;3;0.716666679;0.049328816;0.028480005;0.000811111;0.768750012;-0.052083333;350;0.647379935;520;3;5;20;5
eta;2;25;IMDB-BINARY;GCN;s_mixup;3;0.696666658;0.015275238;0.008819163;7.77776E-05;0.75;-0.053333342;150;0.582891822;320;4;5;10;7
eta;3;4;PROTEINS;GCN;s_mixup;3;0.742899835;0.002589009;0.001494765;2.23432E-06;0.814606726;-0.071706891;190;0.423369348;390;0;5;16;1
eta;3;9;PROTEINS;GCN;s_mixup;3;0.660687586;0.02212054;0.0127713;0.000163106;0.719101131;-0.058413545;300;0.601591587;400;1;5;20;4
eta;3;15;PROTEINS;GCN;s_mixup;3;0.74439462;0.013452917;0.007767045;6.0327E-05;0.792134821;-0.047740201;620;0.20280762;800;2;5;9;7
eta;3;21;PROTEINS;GCN;s_mixup;3;0.74924924;0.006880773;0.003972616;1.57817E-05;0.759776533;-0.010527293;180;0.530754626;380;3;5;20;11
eta;3;26;PROTEINS;GCN;s_mixup;3;0.789789796;0.00688074;0.003972597;1.57815E-05;0.815642476;-0.02585268;480;0.293883145;680;4;5;9;1
eta;4;6;PROTEINS;GCN;submix;3;0.733931263;0.016977304;0.009801851;9.60763E-05;0.775280893;-0.04134963;220;0.388762951;410;0;5;20;0
eta;4;12;PROTEINS;GCN;submix;3;0.609865477;0.108831044;0.062833633;0.003948065;0.724719107;-0.11485363;260;0.584321618;360;1;5;20;1
eta;4;18;PROTEINS;GCN;submix;3;0.759342313;0.005178019;0.002989531;8.93729E-06;0.814606726;-0.055264413;570;0.142133206;770;2;5;20;19
eta;4;23;PROTEINS;GCN;submix;3;0.768768787;0.005201351;0.003003001;9.01802E-06;0.770949721;-0.002180934;20;0.41400227;200;3;5;20;19
eta;4;29;PROTEINS;GCN;submix;3;0.771771789;0.00688074;0.003972597;1.57815E-05;0.793296099;-0.02152431;220;0.44509533;370;4;5;20;7
eta;5;8;IMDB-BINARY;GCN;submix;3;0.641666651;0.072514357;0.041866183;0.001752777;0.725000024;-0.083333373;110;0.615678072;200;0;5;20;6
eta;5;13;IMDB-BINARY;GCN;submix;3;0.669999997;0.022912889;0.013228763;0.000175;0.818750024;-0.148750027;320;0.596862197;490;1;5;20;11
eta;5;20;IMDB-BINARY;GCN;submix;3;0.691666663;0.038188153;0.02204794;0.000486112;0.743749976;-0.052083313;490;0.43828398;670;2;5;20;6
eta;5;24;IMDB-BINARY;GCN;submix;3;0.721666654;0.020816674;0.012018512;0.000144445;0.774999976;-0.053333322;160;0.593040228;230;3;5;20;16
eta;5;30;IMDB-BINARY;GCN;submix;3;0.685000002;0.00999999;0.005773497;3.33333E-05;0.762499988;-0.077499986;620;0.520332873;720;4;5;20;5
eta;6;11;IMDB-BINARY;GCN;if_mixup;3;0.645000001;0.075498363;0.043589;0.001900001;0.725000024;-0.080000023;340;0.624074578;540;0;5;20;1
eta;6;17;IMDB-BINARY;GCN;if_mixup;3;0.686666667;0.025166091;0.014529649;0.000211111;0.818750024;-0.132083356;510;0.631248057;540;1;5;20;3
eta;6;22;IMDB-BINARY;GCN;if_mixup;3;0.698333323;0.002886749;0.001666665;2.77777E-06;0.731249988;-0.032916665;280;0.599715114;440;2;5;20;0
eta;6;28;IMDB-BINARY;GCN;if_mixup;3;0.703333318;0.005773497;0.00333333;1.11111E-05;0.762499988;-0.05916667;350;0.636170089;420;3;5;20;15
